=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:32:59 =~=~=~=~=~=~=~=~=~=~=~=
417259 29.54 101045.52 29.35 231674.20 6
418759 29.70 101042.53 29.35 42524.92 8
419259 29.75 101041.80 29.38 43880.70 9
420258 29.72 101040.53 29.32 2026719.50 1
421758 29.32 101036.92 29.24 1915809.13 2
421758 29.32 101036.92 29.24 1915809.13 2
421758 29.32 101036.92 29.24 1915809.13 2
421758 29.32 101036.92 29.24 1915809.13 2
426007 29.20 101027.50 29.26 1761341.63 3
426506 29.39 101023.52 29.36 239981.25 4
427256 29.50 101020.01 29.35 236982.19 5
428756 29.62 101017.83 29.37 41012.50 7
429256 29.70 101015.99 29.33 42524.92 8
430755 29.77 101010.52 29.32 44521.74 0
431005 29.71 101012.59 29.26 2068164.63 1
432505 29.32 101006.55 29.17 1938934.88 2
432505 29.32 101006.55 29.17 1938934.88 2
432505 29.32 101006.55 29.17 1938934.88 2
436504 29.21 100998.28 29.21 1796097.38 3
437254 29.38 100995.34 29.27 242023.16 4
438004 29.49 100995.46 29.29 235510.58 5
438754 29.54 100992.34 29.27 231517.06 6
439503 29.62 100991.23 29.28 40816.33 7
440753 29.75 100987.16 29.26 43522.61 9
441753 29.71 100984.64 29.20 2055708.88 1
443252 29.33 100983.98 29.14 1926622.75 2
443252 29.33 100983.98 29.14 1926622.75 2
443252 29.33 100983.98 29.14 1926622.75 2
443252 29.33 100983.98 29.14 1926622.75 2
447251 29.20 100974.77 29.18 1783195.50 3
448001 29.38 100971.84 29.23 240997.88 4
448751 29.49 100969.89 29.24 237807.70 5
450001 29.62 100965.48 29.27 40894.57 7
450750 29.70 100965.02 29.22 42737.90 8
451500 29.75 100964.30 29.20 43745.73 9
452500 29.71 100961.88 29.17 2054162.50 1
453750 29.32 100959.92 29.09 1936185.25 2
453750 29.32 100959.92 29.09 1936185.25 2
453750 29.32 100959.92 29.09 1936185.25 2
457998 29.20 100951.29 29.13 1778549.75 3
458748 29.38 100947.01 29.20 240150.09 4
459498 29.49 100944.47 29.21 235673.19 5
460248 29.54 100943.99 29.18 231517.06 6
460748 29.62 100942.27 29.19 40894.57 7
461498 29.70 100940.45 29.19 42823.69 8
462997 29.77 100937.18 29.13 44521.74 0
463247 29.71 100937.87 29.14 2051076.63 1
464497 29.32 100932.72 29.05 1927983.00 2
464497 29.32 100932.72 29.05 1927983.00 2
464497 29.32 100932.72 29.05 1927983.00 2
468746 29.20 100921.40 29.11 1783195.50 3
469496 29.38 100919.10 29.13 239981.25 4
470245 29.49 100918.16 29.16 236325.88 5
470745 29.53 100916.73 29.16 232939.03 6
471495 29.61 100914.52 29.16 40973.11 7
472995 29.74 100912.23 29.14 43835.62 9
473994 29.71 100910.99 29.09 2034268.63 1
475244 29.32 100908.51 29.05 1921200.75 2
475244 29.32 100908.51 29.05 1921200.75 2
475244 29.32 100908.51 29.05 1921200.75 2
475244 29.32 100908.51 29.05 1921200.75 2
479493 29.20 100897.43 29.08 1769330.50 3
480243 29.37 100895.71 29.08 242023.16 4
480743 29.48 100894.82 29.11 236162.36 5
481493 29.53 100893.65 29.13 232304.91 6
482992 29.69 100888.53 29.10 42609.86 8
483742 29.74 100888.42 29.10 43567.05 9
484742 29.70 100885.63 29.04 2043402.38 1
485991 29.31 100883.92 28.96 1925264.38 2
485991 29.31 100883.92 28.96 1925264.38 2
485991 29.31 100883.92 28.96 1925264.38 2
485991 29.31 100883.92 28.96 1925264.38 2
490240 29.18 100874.31 29.03 1778549.75 3
