=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:42:47 =~=~=~=~=~=~=~=~=~=~=~=
3041995 29.81 100833.45 17.74 630736.06 7
3042495 29.90 100832.52 17.72 654313.13 8
3043245 29.95 100833.13 17.71 658097.69 9
3043994 29.98 100834.21 17.79 672357.19 0
3044244 29.90 100833.68 17.72 102400000.00 1
3045744 29.46 100829.88 17.63 102400000.00 2
3049742 29.35 100828.81 17.64 102400000.00 3
3050492 29.57 100830.59 17.66 6960068.00 4
3051241 29.70 100829.55 17.66 6799751.00 5
3051991 29.75 100829.22 17.65 6695545.50 6
3052741 29.85 100829.59 17.63 634841.94 7
3053241 29.94 100830.91 17.65 652437.06 8
3053990 29.99 100831.66 17.70 661926.31 9
3054740 30.01 100829.91 17.59 667753.50 0
3054990 29.93 100829.12 17.61 102400000.00 1
3056489 29.50 100827.68 17.54 102400000.00 2
3060488 29.39 100825.88 17.52 102400000.00 3
3061237 29.61 100826.02 17.55 6973398.50 4
3061987 29.74 100824.55 17.58 6838063.50 5
3062737 29.80 100825.01 17.56 6712003.50 6
3063487 29.88 100822.72 17.58 627835.69 7
3063986 29.98 100825.34 17.58 646873.00 8
3064736 30.02 100823.77 17.55 658097.69 9
3065486 30.04 100822.43 17.53 670376.44 0
3065736 29.97 100822.10 17.53 102400000.00 1
3067235 29.53 100818.81 17.46 102400000.00 2
3071234 29.41 100815.23 17.46 102400000.00 3
3071983 29.64 100814.58 17.51 6960068.00 4
3072733 29.77 100814.58 17.46 6778651.00 5
3073483 29.83 100815.08 17.47 6666938.00 6
3074232 29.92 100816.91 17.51 627258.81 7
3074732 30.00 100815.70 17.48 646873.00 8
3075482 30.05 100815.11 17.39 656831.31 9
3076232 30.07 100813.37 17.47 667753.50 0
3076482 30.00 100814.80 17.44 102400000.00 1
3077981 29.57 100810.51 17.39 102400000.00 2
3081979 29.45 100806.24 17.35 102400000.00 3
3082729 29.68 100806.02 17.37 6933559.00 4
3083479 29.82 100808.20 17.38 6812474.00 5
3084229 29.86 100807.62 17.38 6695545.50 6
3084978 29.96 100807.91 17.39 623819.69 7
3085478 30.05 100808.05 17.40 643216.06 8
3086228 30.09 100805.59 17.39 659368.94 9
3086978 30.12 100805.37 17.42 669062.38 0
3087228 30.04 100805.63 17.36 102400000.00 1
3088727 29.60 100799.31 17.30 102400000.00 2
3092725 29.49 100794.11 17.28 102400000.00 3
3093475 29.72 100796.88 17.31 6951209.00 4
3094225 29.85 100798.12 17.29 6812474.00 5
3094975 29.90 100798.13 17.32 6658809.00 6
3095724 29.99 100798.04 17.27 627835.69 7
3096224 30.08 100798.13 17.32 648101.25 8
3096974 30.13 100794.75 17.32 659368.94 9
3097723 30.16 100793.59 17.29 665799.75 0
3097973 30.07 100795.63 17.27 102400000.00 1
3099473 29.64 100791.16 17.21 102400000.00 2
3103471 29.52 100787.38 17.18 102400000.00 3
3104221 29.75 100789.71 17.24 6968949.50 4
3104971 29.89 100789.54 17.25 6898526.50 5
3105720 29.94 100789.20 17.22 6699652.50 6
3106470 30.03 100786.63 17.19 623819.69 7
3106970 30.11 100782.62 17.19 643216.06 8
3107720 30.16 100781.88 17.19 648717.13 9
3108469 30.19 100781.37 17.19 658732.69 0
3108719 30.11 100780.93 17.20 102400000.00 1
3110219 29.67 100781.35 17.13 102400000.00 2
3114217 29.55 100773.13 17.13 102400000.00 3
3114967 29.79 100774.03 17.15 6889823.50 4
3115717 29.92 100773.77 17.12 6778651.00 5
3116466 29.97 100772.90 17.16 6691443.50 6
3117216 30.06 100771.81 17.16 622681.69 7
3117716 30.15 100770.47 17.21 644430.44 8
3118465 30.20 100771.00 17.15 656199.94 9
3119215 30.23 100769.85 17.17 663212.44 0
3119465 30.14 100769.26 17.12 102400000.00 1
3120964 29.71 100766.42 17.05 102400000.00 2
3124963 29.59 100763.21 17.03 102400000.00 3
3125713 29.83 100766.29 17.08 6946788.00 4
3126462 29.96 100761.72 17.05 6791295.50 5
3127212 30.01 100761.48 17.08 6638573.50 6
3127962 30.10 100759.63 17.02 621547.81 7
3128462 30.19 100761.12 17.04 640801.00 8
3129211 30.23 100760.57 17.09 653061.25 9
3129961 30.26 100757.38 17.07 660645.19 0
3130211 30.18 100758.62 17.04 102400000.00 1
3131710 29.74 100757.41 16.99 102400000.00 2
3135709 29.63 100753.36 16.95 102400000.00 3
3136458 29.86 100752.77 17.00 6820982.50 4
3137208 29.99 100751.04 16.99 6808227.50 5
3137958 30.04 100749.59 17.00 6671010.00 6
3138708 30.14 100749.96 17.02 623250.13 7
3139207 30.21 100746.52 16.98 643822.69 8
3139957 30.27 100746.19 17.00 654313.13 9
3140707 30.29 100745.02 17.00 658732.69 0
3140957 30.21 100743.46 16.94 102400000.00 1
3142456 29.78 100736.21 16.93 102400000.00 2
3146704 29.66 100734.70 16.90 102400000.00 3
3147204 29.90 100735.30 16.91 6795520.50 4
3147954 30.03 100734.14 16.92 6787075.50 5
3148704 30.08 100733.44 16.88 6606451.50 6
3149453 30.17 100731.95 16.92 620982.44 7
3149953 30.27 100732.73 17.00 642006.25 8
3150703 30.31 100730.63 16.92 648101.25 9
3151453 30.33 100728.38 16.96 663857.38 0
3151702 30.25 100728.17 16.90 102400000.00 1
3153202 29.82 100724.73 16.83 102400000.00 2
3157450 29.70 100716.72 16.82 102400000.00 3
3157950 29.93 100718.83 16.85 6791295.50 4
3158700 30.07 100719.38 16.85 6687347.00 5
3159449 30.11 100718.27 16.86 6606451.50 6
3160199 30.21 100718.80 16.91 624961.88 7
3160949 30.29 100723.13 16.88 634252.06 8
3161449 30.35 100724.68 16.85 659368.94 9
3162198 30.38 100723.13 16.78 655569.81 0
3162448 30.30 100721.25 16.83 102400000.00 1
3163948 29.86 100717.48 16.77 102400000.00 2
3168196 29.74 100710.66 16.76 102400000.00 3
3168696 29.98 100708.31 16.76 6766054.00 4
3169445 30.10 100704.80 16.80 6703764.50 5
3170195 30.16 100704.30 16.82 6594486.00 6
3170945 30.25 100702.29 16.76 626108.25 7
3171695 30.33 100700.61 16.86 637212.19 8
3172195 30.38 100700.87 16.76 643216.06 9
3172944 30.41 100700.59 16.77 658097.69 0
3173194 30.33 100699.14 16.77 102400000.00 1
3174693 29.89 100694.42 16.71 102400000.00 2
3178942 29.78 100687.72 16.71 102400000.00 3
3179441 30.01 100690.29 16.74 6787075.50 4
3180191 30.14 100689.16 16.72 6695545.50 5
3180941 30.19 100688.43 16.71 6531393.50 6
3181691 30.28 100689.36 16.73 621547.81 7
3182440 30.37 100686.24 16.64 634841.94 8
3182940 30.41 100684.04 16.71 651814.13 9
3183690 30.45 100687.11 16.73 660006.44 0
3183940 30.37 100684.91 16.70 102400000.00 1
3185439 29.93 100676.70 16.65 102400000.00 2
3189687 29.82 100672.09 16.64 102400000.00 3
3190187 30.05 100673.86 16.66 6795520.50 4
3190937 30.18 100673.80 16.67 6646653.00 5
3191687 30.23 100674.55 16.67 6606451.50 6
3192436 30.32 100675.13 16.70 610432.19 7
3193186 30.40 100672.27 16.68 634841.94 8
3193686 30.46 100672.59 16.64 645039.38 9
3194436 30.49 100671.52 16.73 657463.88 0
3194686 30.40 100669.83 16.64 102400000.00 1
3196185 29.96 100661.13 16.58 102400000.00 2
3200433 29.85 100655.53 16.59 102400000.00 3
3200933 30.08 100658.14 16.61 6749330.50 4
3201683 30.21 100657.13 16.62 6671010.00 5
3202432 30.26 100656.67 16.61 6481012.50 6
3203182 30.36 100656.52 16.61 617053.31 7
3203932 30.45 100656.08 16.59 635432.81 8
3204431 30.49 100653.18 16.59 648101.25 9
3205181 30.52 100652.11 16.54 661285.13 0
3205431 30.43 100650.99 16.57 102400000.00 1
3206931 30.00 100646.89 16.52 102400000.00 2
3211179 29.89 100638.18 16.51 102400000.00 3
3211679 30.11 100641.71 16.52 6749330.50 4
3212428 30.25 100639.79 16.57 6610450.00 5
3213178 30.29 100639.92 16.55 6481012.50 6
3213928 30.39 100640.26 16.53 617053.31 7
3214677 30.48 100637.88 16.53 643822.69 8
3215177 30.54 100637.66 16.53 650571.81 9
3215927 30.55 100636.22 16.58 657463.88 0
3216177 30.48 100635.76 16.49 102400000.00 1
3217676 30.03 100630.43 16.46 102400000.00 2
3221924 29.92 100622.88 16.45 102400000.00 3
3222424 30.15 100623.18 16.51 6720262.50 4
3223174 30.28 100623.55 16.47 6570684.00 5
3223924 30.33 100622.11 16.48 6477169.50 6
3224673 30.42 100622.52 16.44 617053.31 7
3225423 30.52 100623.55 16.54 637212.19 8
3225923 30.56 100619.60 16.44 647486.56 9
3226673 30.59 100619.45 16.45 653061.25 0
