=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:53:47 =~=~=~=~=~=~=~=~=~=~=~=
920775 28.92 100567.68 10.34 220025.78 5
921274 28.97 100564.50 10.31 219601.11 6
922024 29.04 100562.39 10.32 43790.63 7
922774 29.12 100558.61 10.33 44198.89 8
924273 29.18 100552.85 10.32 44429.02 0
924523 29.13 100552.26 10.30 1340752.88 1
925773 28.75 100548.93 10.26 1321290.38 2
925773 28.75 100548.93 10.26 1321290.38 2
925773 28.75 100548.93 10.26 1321290.38 2
930021 28.62 100538.26 10.23 1285221.25 3
930771 28.80 100532.73 10.23 217363.61 4
931520 28.92 100531.70 10.25 217363.61 5
932020 28.96 100529.30 10.20 217363.61 6
932770 29.03 100526.80 10.24 43345.75 7
934269 29.16 100523.08 10.23 43700.92 9
935269 29.14 100523.02 10.20 1308626.25 1
936519 28.75 100514.63 10.16 1282806.13 2
936519 28.75 100514.63 10.16 1282806.13 2
936519 28.75 100514.63 10.16 1282806.13 2
936519 28.75 100514.63 10.16 1282806.13 2
940767 28.62 100507.10 10.12 1256827.25 3
941517 28.80 100507.40 10.10 213288.89 4
942016 28.93 100506.74 10.13 213555.78 5
942766 28.96 100505.27 10.14 212227.98 6
944265 29.12 100500.55 10.11 42909.82 8
945015 29.16 100498.02 10.11 43170.32 9
945765 29.13 100496.82 10.10 1282806.13 1
947264 28.75 100494.19 10.07 1257985.25 2
947264 28.75 100494.19 10.07 1257985.25 2
947264 28.75 100494.19 10.07 1257985.25 2
947264 28.75 100494.19 10.07 1257985.25 2
951512 28.61 100484.11 10.02 1227449.75 3
952262 28.80 100484.22 10.04 210786.33 4
952762 28.91 100483.69 10.03 211439.19 5
954261 29.02 100476.15 10.04 42609.86 7
955011 29.11 100474.23 10.04 42695.13 8
956261 29.18 100468.60 10.04 42823.69 0
956511 29.13 100469.01 10.02 1253366.00 1
958010 28.74 100465.16 9.96 1218684.88 2
958010 28.74 100465.16 9.96 1218684.88 2
958010 28.74 100465.16 9.96 1218684.88 2
962258 28.61 100455.35 9.95 1197310.75 3
962758 28.79 100455.39 9.97 207203.56 4
963508 28.91 100451.94 9.94 207707.91 5
964258 28.96 100450.64 9.97 206202.17 6
965007 29.03 100449.74 9.94 42022.32 7
966257 29.15 100447.02 9.97 42482.57 9
967257 29.13 100444.10 9.96 1225246.75 1
968756 28.74 100440.09 9.88 1202583.63 2
968756 28.74 100440.09 9.88 1202583.63 2
968756 28.74 100440.09 9.88 1202583.63 2
968756 28.74 100440.09 9.88 1202583.63 2
973004 28.61 100434.79 9.84 1173639.00 3
973504 28.79 100430.84 9.86 203255.27 4
974254 28.91 100431.55 9.86 203984.06 5
975003 28.95 100429.05 9.85 202052.09 6
975753 29.02 100425.87 9.87 41653.11 7
977003 29.14 100422.24 9.86 42146.86 9
